date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
June 3,15468.75,136718.75,6250,208875,38750.0,14000,NA,NA,0,NA,21000,7000,NA,13000,19000,48000,45000,139000,19000,0,13000,244000,34000,167000,129000,35000,12000,29000,176000,303000,174000,42000,86000,205000,46000,256000,22000,29000,301000,60000,82000,26000,51000,58000,257000,68000
June 4,16875,161875,9000,212250,63750.0,NA,8000,137000,NA,4000,NA,NA,1000,NA,11000,64000,40000,182000,22000,2000,14000,249000,11000,214000,114000,36000,47000,17000,162000,271000,212000,31000,74000,206000,39000,183000,90000,90000,313000,125000,106000,23000,278000,49000,384000,49000
June 5,28750,183125,15750,223250,74375.0,78000,NA,NA,21000,NA,202000,159000,NA,NA,29000,107000,73000,162000,34000,4000,20000,218000,37000,211000,127000,26000,37000,11000,163000,246000,190000,40000,74000,183000,72000,248000,292000,112000,344000,169000,115000,64000,378000,44000,302000,33000
June 6,43750,151875,11625,233250,95000.0,NA,33000,124000,NA,30000,NA,NA,1000,NA,41000,NA,59000,131000,NA,9000,13000,153000,5000,139000,106000,47000,67000,30000,230000,238000,190000,59000,95000,151000,67000,248000,371000,231000,329000,181000,188000,110000,314000,58000,377000,84000
June 7,54218.75,141562.5,15531.25,245625,94687.5,169000,NA,NA,119000,NA,117000,90000,NA,129000,25000,NA,59000,126000,NA,39000,13000,264000,4000,82000,154000,35000,99000,138000,250000,185000,135000,72000,81000,191000,61000,244000,328000,270000,345000,191000,241000,93000,308000,42000,322000,169000
June 8,53593.75,145390.625,10625,190125,104687.5,NA,32000,13000,NA,3000,NA,NA,6000,NA,54000,NA,102000,104000,NA,94000,12000,152000,0,53000,120000,18000,110000,161000,205000,144000,111000,73000,77000,211000,146000,184000,338000,304000,316000,240000,122000,75000,258000,40000,227000,178000
June 9,42343.75,171718.75,15843.75,219125,133125.0,61000,NA,NA,171000,NA,94000,33000,NA,117000,194000,163000,169000,61000,38000,171000,15000,132000,21000,55000,109000,18000,95000,180000,228000,218000,172000,178000,148000,368000,142000,134000,339000,291000,221000,227000,139000,104000,311000,192000,137000,152000
June 10,49687.5,208906.25,17656.25,296250,123281.25,NA,51000,19000,NA,2000,NA,NA,9000,NA,409000,74000,182000,16000,48000,176000,21000,262000,41000,54000,102000,73000,72000,270000,421000,206000,210000,279000,168000,428000,189000,103000,284000,253000,124000,232000,187000,108000,388000,193000,122000,164000
June 11,60000,231875,10187.5,362875,123125.0,14000,NA,NA,104000,NA,123000,2000,NA,182000,354000,183000,150000,NA,87000,254000,12000,95000,34000,137000,66000,84000,75000,288000,534000,151000,206000,397000,58000,557000,240000,60000,232000,236000,98000,322000,233000,54000,576000,166000,174000,260000
June 12,66093.75,247500,13437.5,350750,108437.5,NA,113000,2000,NA,6000,NA,NA,11000,NA,198000,69000,159000,26000,57000,279000,14000,91000,68000,212000,178000,71000,86000,335000,642000,109000,163000,492000,124000,678000,262000,66000,259000,268000,87000,289000,224000,89000,6.00E+05,158000,241000,712000
