month,day,total,total-color,retweets,retweets-color,original,original-color,highestLikes,highestLikes-color,highestRetweets,highestRetweets-color,totalLikes,totalLikes-color,letters,letters-color,capitalLetters,capitalLetters-color,loudness,loudness-color,likeRate,likeRate-color,totalRetweets,totalRetweets-color,retweetRate,retweetRate-color,most-popular-text,most-popular-id,most-popular-date
2017-02-01,7,6,#edf7fe,0,#ffffff,6,#edf7fe,188271,#cce9fc,50474,#c0e5fb,587659,#d0ebfc,593,#edf7fe,31,#f7fbfe,5.227655986509275,#e4f4fd,97943.16666666667,#c1e5fb,125890,#e5f4fd,20981.666666666668,#a4d8fa,"I don't know Putin&#44; have no deals in Russia&#44; and the haters are going crazy - yet Obama can make a deal with Iran&#44; #1 in terror&#44; no problem!",828939235499638784,2017-02-07 01:11
2017-02-01,8,11,#ddf1fd,0,#ffffff,11,#ddf1fd,157210,#d4edfc,36410,#d2ecfc,1124028,#a6d9fa,942,#e3f3fd,92,#e6f4fd,9.766454352441613,#cdeafc,102184.36363636363,#bfe4fb,241568,#cdeafc,21960.727272727272,#9fd6fa,"It is a disgrace that my full Cabinet is still not in place&#44; the longest such delay in the history of our country. Obstruction by Democrats!",829133645055135750,2017-02-08 02:04
2017-02-01,9,7,#eaf6fe,0,#ffffff,7,#eaf6fe,163235,#d3ecfc,32534,#d7eefd,637701,#cce9fc,672,#ebf6fe,47,#f2fafe,6.994047619047619,#dbf0fd,91100.14285714286,#c6e7fb,120037,#e6f5fe,17148.14285714286,#b4dffb,"Congratulations to our new Attorney General&#44; @SenatorSessions! https://t.co/e0buP1K83z",829496507841789952,2017-02-09 02:05
2017-02-01,10,3,#f6fbfe,0,#ffffff,3,#f6fbfe,237614,#bde4fb,67448,#acdcfa,433769,#ddf0fd,250,#f8fcff,69,#ecf7fe,27.6,#73c3f7,144589.66666666666,#a6d9fa,108736,#e9f5fe,36245.333333333336,#63bcf6,"SEE YOU IN COURT&#44; THE SECURITY OF OUR NATION IS AT STAKE!",829836231802515457,2017-02-10 12:35
2017-02-01,11,6,#edf7fe,0,#ffffff,6,#edf7fe,160212,#d3edfc,40351,#cdeafc,634477,#cceafc,552,#eff8fe,69,#ecf7fe,12.5,#bee4fb,105746.16666666667,#bce3fb,124116,#e6f4fd,20686,#a5d9fa,"Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO",830195857530183684,2017-02-11 12:24
2017-02-01,12,13,#d7eefd,1,#f9fdff,12,#daeffd,207438,#c6e7fc,29437,#dbf0fd,1202598,#a0d6fa,1194,#dbf0fd,146,#d7eefd,12.22780569514238,#bfe5fb,92507.53846153847,#c5e7fb,222053,#d1ecfc,17081,#b4dffb,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media&#44; and to still hold her head so high&#44; is truly wonderful!",830552079240409089,2017-02-12 12:00
2017-02-01,13,3,#f6fbfe,0,#ffffff,3,#f6fbfe,85397,#e8f5fe,15431,#ecf7fe,244511,#ecf7fe,238,#f8fcff,23,#f9fcff,9.663865546218487,#cdeafc,81503.66666666667,#cceafc,40660,#f7fbff,13553.333333333334,#c3e6fb,"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6",831214091993751552,2017-02-13 07:50
2017-02-01,14,6,#edf7fe,0,#ffffff,6,#edf7fe,111318,#e1f2fd,26588,#def1fd,459057,#daf0fd,490,#f1f9fe,48,#f2f9fe,9.795918367346939,#cdeafc,76509.5,#cfebfc,91482,#ecf7fe,15247,#bbe3fb,"The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?",831510532318429184,2017-02-14 03:28
2017-02-01,15,10,#e0f2fd,0,#ffffff,10,#e0f2fd,128448,#dcf0fd,31903,#d8eefd,881011,#b8e1fb,903,#e4f4fd,96,#e5f4fd,10.631229235880399,#c8e8fc,88101.1,#c8e8fc,205466,#d5edfc,20546.6,#a5d9fa,"The real scandal here is that classified information is illegally given out by &#34;intelligence&#34; like candy. Very un-American!",831853862281699331,2017-02-15 02:13
2017-02-01,16,6,#edf7fe,0,#ffffff,6,#edf7fe,127764,#dcf0fd,53977,#bce3fb,674313,#c9e8fc,591,#edf7fe,28,#f7fcff,4.737732656514383,#e7f5fe,112385.5,#b9e2fb,166998,#ddf0fd,27833,#85cbf8,"Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!",832191485701451777,2017-02-16 12:34
